,precision,recall,f1-score,support
glioma,1.0,0.97,0.9847715736040609,300.0
meningioma,0.926605504587156,0.9901960784313726,0.957345971563981,306.0
notumor,0.9925742574257426,0.9901234567901235,0.9913473423980222,405.0
pituitary,0.9930795847750865,0.9566666666666667,0.9745331069609507,300.0
accuracy,0.9778794813119756,0.9778794813119756,0.9778794813119756,0.9778794813119756
macro avg,0.9780648366969963,0.9767465504720406,0.9769994986317537,1311.0
weighted avg,0.9789914066312904,0.9778794813119756,0.9780586919445313,1311.0
